date,open,high,low,close,volume
2025-12-12 09:15:00+05:30,267.95,269.45,250.2,261.65,171525
2025-12-12 09:16:00+05:30,261.0,266.0,259.3,263.45,100575
2025-12-12 09:17:00+05:30,263.65,267.2,263.65,265.15,155850
2025-12-12 09:18:00+05:30,265.0,266.0,260.9,265.6,141975
2025-12-12 09:19:00+05:30,265.6,271.65,265.0,270.6,135150
2025-12-12 09:20:00+05:30,271.05,277.0,270.0,271.6,190575
2025-12-12 09:21:00+05:30,272.0,275.6,271.9,272.45,118650
2025-12-12 09:22:00+05:30,272.45,276.2,272.25,274.25,61275
2025-12-12 09:23:00+05:30,274.25,275.0,267.25,268.65,151950
2025-12-12 09:24:00+05:30,268.65,271.85,265.9,266.6,76200
2025-12-12 09:25:00+05:30,267.5,268.15,259.0,261.9,66900
2025-12-12 09:26:00+05:30,262.55,267.25,260.9,266.95,33975
2025-12-12 09:27:00+05:30,266.95,274.75,266.3,274.25,47100
2025-12-12 09:28:00+05:30,274.4,277.85,273.3,277.8,146025
2025-12-12 09:29:00+05:30,277.2,279.5,276.05,278.7,37050
2025-12-12 09:30:00+05:30,279.3,288.45,279.15,286.65,131625
2025-12-12 09:31:00+05:30,285.9,292.55,285.9,292.25,84600
2025-12-12 09:32:00+05:30,292.25,294.0,290.05,294.0,66750
2025-12-12 09:33:00+05:30,294.0,294.8,286.0,288.0,97425
2025-12-12 09:34:00+05:30,288.05,292.0,288.05,291.4,25275
2025-12-12 09:35:00+05:30,291.75,293.0,285.4,287.95,45900
2025-12-12 09:36:00+05:30,288.75,292.9,288.35,292.7,27900
2025-12-12 09:37:00+05:30,292.1,293.3,288.4,289.45,35025
2025-12-12 09:38:00+05:30,289.4,290.65,287.65,288.25,28500
2025-12-12 09:39:00+05:30,287.65,292.95,286.05,291.8,74775
2025-12-12 09:40:00+05:30,291.8,292.25,289.4,289.6,69300
2025-12-12 09:41:00+05:30,289.7,290.7,287.5,289.0,22875
2025-12-12 09:42:00+05:30,287.9,289.0,285.6,286.8,19650
2025-12-12 09:43:00+05:30,286.9,290.7,283.0,289.6,46650
2025-12-12 09:44:00+05:30,289.6,289.7,285.45,287.0,35025
2025-12-12 09:45:00+05:30,286.5,289.05,280.5,281.15,48600
2025-12-12 09:46:00+05:30,281.45,286.05,278.45,282.7,74100
2025-12-12 09:47:00+05:30,282.7,284.9,280.45,282.6,10800
2025-12-12 09:48:00+05:30,283.25,284.65,277.5,278.05,25875
2025-12-12 09:49:00+05:30,277.4,283.45,276.1,282.05,18225
2025-12-12 09:50:00+05:30,282.45,284.75,280.3,281.0,15150
2025-12-12 09:51:00+05:30,281.0,283.35,281.0,281.9,8850
2025-12-12 09:52:00+05:30,281.75,283.75,280.0,281.25,8475
2025-12-12 09:53:00+05:30,280.75,281.9,279.0,280.8,25800
2025-12-12 09:54:00+05:30,279.65,283.35,279.35,283.0,13500
2025-12-12 09:55:00+05:30,283.0,284.25,281.0,281.5,16275
2025-12-12 09:56:00+05:30,281.8,284.0,279.0,284.0,16800
2025-12-12 09:57:00+05:30,284.6,288.95,282.7,282.7,33825
2025-12-12 09:58:00+05:30,282.45,282.75,271.2,271.5,44325
2025-12-12 09:59:00+05:30,272.85,277.95,272.4,276.4,35625
2025-12-12 10:00:00+05:30,276.45,280.1,275.5,275.5,18300
2025-12-12 10:01:00+05:30,276.2,280.7,275.0,277.95,21975
2025-12-12 10:02:00+05:30,276.75,277.15,270.95,274.0,47475
2025-12-12 10:03:00+05:30,274.0,276.65,269.55,269.9,22650
2025-12-12 10:04:00+05:30,270.25,273.25,270.05,273.15,33750
2025-12-12 10:05:00+05:30,273.75,273.75,266.75,267.75,22800
2025-12-12 10:06:00+05:30,267.9,270.75,267.5,269.65,18750
2025-12-12 10:07:00+05:30,269.7,272.35,265.0,265.45,28500
2025-12-12 10:08:00+05:30,265.0,265.35,252.55,253.0,63225
2025-12-12 10:09:00+05:30,254.0,259.6,252.75,259.0,44700
2025-12-12 10:10:00+05:30,259.5,259.95,255.25,255.25,25875
2025-12-12 10:11:00+05:30,256.05,256.75,250.85,255.25,74625
2025-12-12 10:12:00+05:30,255.45,256.85,253.75,256.3,66525
2025-12-12 10:13:00+05:30,256.75,260.4,255.7,260.25,33675
2025-12-12 10:14:00+05:30,260.0,268.5,260.0,268.0,58725
2025-12-12 10:15:00+05:30,268.0,278.95,267.35,274.5,93000
2025-12-12 10:16:00+05:30,274.2,275.45,268.6,269.7,28650
2025-12-12 10:17:00+05:30,269.25,272.2,265.8,269.1,28575
2025-12-12 10:18:00+05:30,269.0,274.25,269.0,273.5,14325
2025-12-12 10:19:00+05:30,273.7,275.7,271.4,274.5,19125
2025-12-12 10:20:00+05:30,274.1,276.0,271.7,272.55,26475
2025-12-12 10:21:00+05:30,272.55,274.0,268.05,268.95,21150
2025-12-12 10:22:00+05:30,268.5,268.7,252.0,252.0,49500
2025-12-12 10:23:00+05:30,251.4,255.9,250.3,251.25,55350
2025-12-12 10:24:00+05:30,251.5,252.5,240.2,240.2,104550
2025-12-12 10:25:00+05:30,241.15,246.4,240.0,242.8,57750
2025-12-12 10:26:00+05:30,244.25,244.55,235.5,237.05,48900
2025-12-12 10:27:00+05:30,235.95,240.1,232.65,239.35,66750
2025-12-12 10:28:00+05:30,239.35,244.0,239.2,243.75,32625
2025-12-12 10:29:00+05:30,243.75,245.85,242.35,245.85,28275
2025-12-12 10:30:00+05:30,245.85,250.3,243.5,250.3,50775
2025-12-12 10:31:00+05:30,250.15,254.7,249.0,251.1,31500
2025-12-12 10:32:00+05:30,251.1,251.4,248.0,249.2,14475
2025-12-12 10:33:00+05:30,248.05,256.15,248.05,255.65,35625
2025-12-12 10:34:00+05:30,255.75,257.0,254.35,256.65,39000
2025-12-12 10:35:00+05:30,255.3,256.6,252.45,253.0,17175
2025-12-12 10:36:00+05:30,252.5,252.5,246.95,247.7,17550
2025-12-12 10:37:00+05:30,249.25,252.25,247.15,250.2,8175
2025-12-12 10:38:00+05:30,250.75,251.9,249.45,250.1,11625
2025-12-12 10:39:00+05:30,250.0,252.0,248.0,248.55,7500
2025-12-12 10:40:00+05:30,248.5,250.0,243.55,244.4,18825
2025-12-12 10:41:00+05:30,243.75,248.0,242.55,247.85,15525
2025-12-12 10:42:00+05:30,248.0,249.3,245.6,246.4,8775
2025-12-12 10:43:00+05:30,247.05,248.15,244.25,244.8,8700
2025-12-12 10:44:00+05:30,245.3,248.15,244.4,246.7,9525
2025-12-12 10:45:00+05:30,246.7,249.55,244.25,249.55,11550
2025-12-12 10:46:00+05:30,249.55,251.7,249.0,250.8,21450
2025-12-12 10:47:00+05:30,250.7,254.4,249.75,253.95,16950
2025-12-12 10:48:00+05:30,254.0,254.0,245.95,246.85,17625
2025-12-12 10:49:00+05:30,246.5,246.8,238.0,239.55,33300
