date,open,high,low,close,volume
2025-12-09 09:15:00+05:30,153.6,153.6,130.25,137.4,6525
2025-12-09 09:16:00+05:30,134.25,136.85,130.65,131.3,10425
2025-12-09 09:17:00+05:30,130.0,131.85,130.0,131.85,7050
2025-12-09 09:18:00+05:30,132.5,133.05,129.05,129.65,6825
2025-12-09 09:19:00+05:30,129.2,130.35,127.65,127.8,5400
2025-12-09 09:20:00+05:30,127.6,127.6,123.6,124.75,7125
2025-12-09 09:21:00+05:30,124.75,129.45,124.3,128.95,9300
2025-12-09 09:22:00+05:30,129.3,131.35,128.65,131.2,2550
2025-12-09 09:23:00+05:30,131.2,131.2,128.45,129.8,2475
2025-12-09 09:24:00+05:30,130.45,131.15,129.0,129.2,3975
2025-12-09 09:25:00+05:30,129.2,129.2,128.7,128.7,300
2025-12-09 09:26:00+05:30,129.25,130.65,127.7,128.05,3225
2025-12-09 09:27:00+05:30,128.35,129.2,127.75,129.05,2100
2025-12-09 09:28:00+05:30,129.05,129.05,125.0,125.8,3750
2025-12-09 09:29:00+05:30,126.4,126.85,124.0,124.15,3525
2025-12-09 09:30:00+05:30,124.15,125.3,117.7,117.7,8175
2025-12-09 09:31:00+05:30,117.7,118.0,114.6,116.15,10575
2025-12-09 09:32:00+05:30,115.55,115.75,114.55,114.9,4575
2025-12-09 09:33:00+05:30,115.0,116.65,114.4,115.25,3375
2025-12-09 09:34:00+05:30,115.45,117.9,115.15,117.35,3150
2025-12-09 09:35:00+05:30,117.0,117.75,115.65,116.8,4500
2025-12-09 09:36:00+05:30,116.8,116.8,115.0,115.55,2625
2025-12-09 09:37:00+05:30,115.75,116.7,115.15,115.8,3375
2025-12-09 09:38:00+05:30,115.8,116.55,115.0,116.1,1500
2025-12-09 09:39:00+05:30,116.1,116.75,115.8,116.0,750
2025-12-09 09:40:00+05:30,116.0,116.5,114.95,115.35,4950
2025-12-09 09:41:00+05:30,115.35,117.45,115.35,117.3,3300
2025-12-09 09:42:00+05:30,116.5,117.25,115.6,117.25,825
2025-12-09 09:43:00+05:30,117.45,118.55,117.1,117.1,1800
2025-12-09 09:44:00+05:30,116.95,117.05,115.15,115.15,2775
2025-12-09 09:45:00+05:30,115.15,116.75,114.25,116.25,3075
2025-12-09 09:46:00+05:30,116.05,116.7,115.7,116.25,1800
2025-12-09 09:47:00+05:30,115.45,115.45,112.45,114.85,3000
2025-12-09 09:48:00+05:30,115.6,115.95,113.15,113.15,3150
2025-12-09 09:49:00+05:30,113.15,113.45,112.9,113.15,2625
2025-12-09 09:50:00+05:30,113.15,113.3,112.1,112.1,3075
2025-12-09 09:51:00+05:30,111.3,112.25,110.8,110.8,1500
2025-12-09 09:52:00+05:30,110.8,112.0,110.8,111.2,600
2025-12-09 09:53:00+05:30,111.2,111.2,108.05,109.2,1725
2025-12-09 09:54:00+05:30,109.2,109.5,108.15,109.1,4275
2025-12-09 09:55:00+05:30,109.0,110.7,108.75,109.5,1275
2025-12-09 09:56:00+05:30,109.85,111.15,109.85,110.6,3150
2025-12-09 09:57:00+05:30,110.45,111.45,110.45,110.9,450
2025-12-09 09:58:00+05:30,110.0,110.0,108.55,109.45,2325
2025-12-09 09:59:00+05:30,109.25,109.55,108.95,109.5,1350
2025-12-09 10:00:00+05:30,109.5,111.35,109.05,111.35,2400
2025-12-09 10:01:00+05:30,111.55,113.4,111.55,113.4,2625
2025-12-09 10:02:00+05:30,115.4,116.5,114.95,115.75,1800
2025-12-09 10:03:00+05:30,115.2,116.0,114.9,115.5,1425
2025-12-09 10:04:00+05:30,115.5,115.5,114.25,114.25,1350
2025-12-09 10:05:00+05:30,114.25,114.95,114.25,114.8,600
2025-12-09 10:06:00+05:30,114.8,117.0,114.8,117.0,5475
2025-12-09 10:07:00+05:30,117.9,117.9,116.5,116.95,3900
2025-12-09 10:08:00+05:30,117.25,119.2,117.25,117.85,1800
2025-12-09 10:09:00+05:30,117.85,118.6,116.4,117.65,3450
2025-12-09 10:10:00+05:30,117.45,119.2,117.45,119.2,2475
2025-12-09 10:11:00+05:30,119.0,119.0,118.2,118.25,3150
2025-12-09 10:12:00+05:30,118.25,118.25,116.85,116.9,450
2025-12-09 10:13:00+05:30,116.9,118.5,116.9,118.5,525
2025-12-09 10:14:00+05:30,117.85,118.85,117.85,118.3,750
2025-12-09 10:15:00+05:30,118.3,120.6,118.3,120.25,975
2025-12-09 10:16:00+05:30,120.25,122.55,119.85,122.55,4875
2025-12-09 10:17:00+05:30,122.55,122.85,120.25,120.25,300
2025-12-09 10:18:00+05:30,120.25,129.5,120.25,129.5,2625
2025-12-09 10:19:00+05:30,129.35,133.95,126.9,127.1,5775
2025-12-09 10:20:00+05:30,126.85,128.9,121.5,122.1,10050
2025-12-09 10:21:00+05:30,124.95,129.55,123.95,129.55,6075
2025-12-09 10:22:00+05:30,129.45,133.6,128.65,132.8,4950
2025-12-09 10:23:00+05:30,133.55,133.55,130.35,132.7,7350
2025-12-09 10:24:00+05:30,132.65,132.75,131.45,131.95,1500
2025-12-09 10:25:00+05:30,131.95,132.0,131.15,131.15,750
2025-12-09 10:26:00+05:30,131.15,131.9,129.35,131.5,450
2025-12-09 10:27:00+05:30,131.5,132.6,131.5,132.6,375
2025-12-09 10:28:00+05:30,132.6,133.9,131.5,131.55,1575
2025-12-09 10:29:00+05:30,131.55,131.55,129.2,129.2,900
2025-12-09 10:30:00+05:30,130.1,130.2,127.0,127.0,2850
2025-12-09 10:31:00+05:30,127.0,128.8,127.0,128.8,375
2025-12-09 10:32:00+05:30,128.45,129.75,126.0,127.8,1200
2025-12-09 10:33:00+05:30,127.8,127.8,125.0,125.0,150
2025-12-09 10:34:00+05:30,123.0,123.5,121.8,123.5,2100
2025-12-09 10:35:00+05:30,120.9,121.0,117.95,119.55,3150
2025-12-09 10:36:00+05:30,118.95,123.95,118.9,123.8,4500
2025-12-09 10:37:00+05:30,123.8,123.8,119.8,119.8,450
2025-12-09 10:38:00+05:30,120.45,122.15,120.0,122.15,1200
2025-12-09 10:39:00+05:30,122.3,126.2,121.3,126.0,5850
2025-12-09 10:40:00+05:30,126.1,128.05,125.55,127.5,2625
2025-12-09 10:41:00+05:30,127.5,127.5,123.7,124.8,900
2025-12-09 10:42:00+05:30,124.8,127.45,124.8,127.45,6150
2025-12-09 10:43:00+05:30,127.45,127.65,125.0,125.25,2850
2025-12-09 10:44:00+05:30,125.25,126.45,124.15,124.15,1575
2025-12-09 10:45:00+05:30,124.9,124.9,122.95,123.85,2250
2025-12-09 10:46:00+05:30,123.15,123.15,121.25,121.25,300
2025-12-09 10:47:00+05:30,121.25,122.8,121.25,122.8,75
2025-12-09 10:48:00+05:30,121.75,122.0,121.7,121.7,1125
2025-12-09 10:49:00+05:30,121.7,122.25,121.7,122.25,75
2025-12-09 10:50:00+05:30,122.25,122.25,119.3,119.35,675
2025-12-09 10:51:00+05:30,119.35,119.95,118.65,119.8,450
2025-12-09 10:52:00+05:30,119.8,120.45,119.8,120.35,600
2025-12-09 10:53:00+05:30,120.35,120.35,119.45,119.7,450
2025-12-09 10:54:00+05:30,119.7,120.9,119.7,120.8,2175
2025-12-09 10:55:00+05:30,119.9,121.35,119.9,120.75,375
2025-12-09 10:56:00+05:30,120.75,122.25,120.75,122.25,525
2025-12-09 10:57:00+05:30,122.4,123.55,120.75,121.55,1575
2025-12-09 10:58:00+05:30,121.55,123.8,121.55,123.25,1500
2025-12-09 10:59:00+05:30,123.55,128.85,123.55,128.2,3525
2025-12-09 11:00:00+05:30,127.55,129.15,125.95,125.95,675
2025-12-09 11:01:00+05:30,125.25,125.4,123.3,123.3,525
2025-12-09 11:02:00+05:30,123.3,127.65,123.3,127.65,225
2025-12-09 11:03:00+05:30,127.65,127.65,125.95,125.95,75
2025-12-09 11:04:00+05:30,126.4,127.0,126.4,127.0,150
2025-12-09 11:05:00+05:30,127.35,129.25,127.35,129.25,975
2025-12-09 11:06:00+05:30,129.25,131.35,129.05,131.25,2475
2025-12-09 11:07:00+05:30,131.25,131.25,128.75,128.75,375
2025-12-09 11:08:00+05:30,128.75,133.1,128.75,132.35,1500
2025-12-09 11:09:00+05:30,132.35,133.45,132.35,133.45,600
2025-12-09 11:10:00+05:30,133.45,133.45,130.45,130.45,375
2025-12-09 11:11:00+05:30,130.45,134.0,130.45,131.0,225
2025-12-09 11:12:00+05:30,131.0,134.0,131.0,133.35,900
2025-12-09 11:13:00+05:30,133.6,137.0,133.6,137.0,4650
2025-12-09 11:14:00+05:30,135.7,137.15,135.7,135.95,1050
2025-12-09 11:15:00+05:30,136.8,139.3,135.0,137.0,2325
2025-12-09 11:16:00+05:30,137.0,137.0,133.45,133.45,675
2025-12-09 11:17:00+05:30,133.0,134.0,131.65,132.95,1800
2025-12-09 11:18:00+05:30,132.95,132.95,132.95,132.95,0
2025-12-09 11:19:00+05:30,132.95,135.8,132.95,135.8,1425
2025-12-09 11:20:00+05:30,135.8,136.4,134.25,135.85,600
2025-12-09 11:21:00+05:30,135.55,136.45,134.3,135.45,1875
2025-12-09 11:22:00+05:30,135.45,135.8,135.0,135.5,1650
2025-12-09 11:23:00+05:30,134.85,135.05,132.5,135.05,2925
2025-12-09 11:24:00+05:30,133.9,134.1,132.8,132.95,1350
2025-12-09 11:25:00+05:30,134.8,136.6,134.8,136.6,450
2025-12-09 11:26:00+05:30,136.6,137.2,135.9,136.3,450
2025-12-09 11:27:00+05:30,134.4,134.4,128.6,131.25,1500
2025-12-09 11:28:00+05:30,131.25,134.45,131.25,134.25,450
2025-12-09 11:29:00+05:30,134.25,135.4,134.0,135.4,150
2025-12-09 11:30:00+05:30,135.15,136.0,131.0,131.0,1425
2025-12-09 11:31:00+05:30,131.0,132.5,131.0,131.95,450
2025-12-09 11:32:00+05:30,132.0,136.0,131.4,135.5,1275
2025-12-09 11:33:00+05:30,135.4,135.75,134.3,134.3,675
2025-12-09 11:34:00+05:30,134.3,136.45,134.3,136.0,150
2025-12-09 11:35:00+05:30,136.0,136.0,134.9,135.45,975
2025-12-09 11:36:00+05:30,135.45,137.5,133.75,133.75,600
2025-12-09 11:37:00+05:30,131.8,133.25,131.0,131.75,12300
2025-12-09 11:38:00+05:30,130.85,132.05,130.85,132.05,825
2025-12-09 11:39:00+05:30,132.05,132.05,132.05,132.05,0
2025-12-09 11:40:00+05:30,133.95,134.4,129.75,129.75,4200
2025-12-09 11:41:00+05:30,129.75,131.45,129.75,131.45,900
2025-12-09 11:42:00+05:30,130.25,130.25,129.0,129.0,225
2025-12-09 11:43:00+05:30,129.1,129.1,126.0,126.0,750
2025-12-09 11:44:00+05:30,126.0,126.0,120.0,120.0,2925
2025-12-09 11:45:00+05:30,118.9,123.2,118.9,122.65,3000
2025-12-09 11:46:00+05:30,122.65,123.05,120.95,123.05,675
2025-12-09 11:47:00+05:30,123.05,123.5,122.3,122.3,225
2025-12-09 11:48:00+05:30,121.75,122.0,120.4,122.0,4050
2025-12-09 11:49:00+05:30,122.0,122.0,120.0,120.3,2625
2025-12-09 11:50:00+05:30,120.3,122.4,120.3,122.4,375
2025-12-09 11:51:00+05:30,122.4,122.4,120.7,120.7,1275
2025-12-09 11:52:00+05:30,120.7,123.55,120.7,122.75,375
2025-12-09 11:53:00+05:30,122.0,123.45,121.85,122.0,23400
2025-12-09 11:54:00+05:30,122.0,123.2,121.45,123.05,4200
2025-12-09 11:55:00+05:30,123.85,126.5,123.8,126.05,1650
2025-12-09 11:56:00+05:30,126.05,126.6,125.3,125.3,600
2025-12-09 11:57:00+05:30,128.05,129.85,127.35,129.85,1425
2025-12-09 11:58:00+05:30,129.85,131.15,129.85,130.85,2250
2025-12-09 11:59:00+05:30,130.85,134.35,129.85,129.85,2175
2025-12-09 12:00:00+05:30,129.85,130.2,128.7,129.9,975
2025-12-09 12:01:00+05:30,128.75,131.1,128.75,130.45,525
2025-12-09 12:02:00+05:30,130.45,132.15,130.45,132.15,1350
2025-12-09 12:03:00+05:30,134.05,135.25,133.65,134.5,450
2025-12-09 12:04:00+05:30,134.5,134.5,134.4,134.4,750
2025-12-09 12:05:00+05:30,135.0,135.25,133.95,134.55,450
2025-12-09 12:06:00+05:30,134.55,141.7,134.55,138.35,8925
2025-12-09 12:07:00+05:30,138.75,139.0,138.0,138.8,900
2025-12-09 12:08:00+05:30,138.8,140.0,138.8,139.35,675
2025-12-09 12:09:00+05:30,140.9,141.05,140.15,141.05,1425
2025-12-09 12:10:00+05:30,141.05,141.05,141.05,141.05,0
2025-12-09 12:11:00+05:30,141.05,141.05,141.05,141.05,0
2025-12-09 12:12:00+05:30,138.4,138.6,137.65,138.15,1275
2025-12-09 12:13:00+05:30,138.15,139.45,138.05,139.45,1050
2025-12-09 12:14:00+05:30,139.45,139.45,139.45,139.45,0
2025-12-09 12:15:00+05:30,139.45,141.45,139.45,140.3,375
2025-12-09 12:16:00+05:30,140.3,140.3,138.8,138.8,225
2025-12-09 12:17:00+05:30,138.8,138.8,138.8,138.8,0
2025-12-09 12:18:00+05:30,138.8,138.8,138.8,138.8,0
2025-12-09 12:19:00+05:30,138.8,138.8,138.8,138.8,0
2025-12-09 12:20:00+05:30,138.8,139.5,138.8,139.5,525
2025-12-09 12:21:00+05:30,139.5,140.55,139.5,140.55,75
2025-12-09 12:22:00+05:30,140.55,147.4,140.55,146.6,3900
2025-12-09 12:23:00+05:30,146.6,147.5,146.55,146.55,225
2025-12-09 12:24:00+05:30,146.55,148.0,146.55,148.0,525
2025-12-09 12:25:00+05:30,149.0,149.5,148.15,148.6,2250
2025-12-09 12:26:00+05:30,148.6,148.6,145.5,145.5,75
2025-12-09 12:27:00+05:30,145.5,146.05,143.45,143.45,750
2025-12-09 12:28:00+05:30,143.45,144.8,142.15,143.9,750
2025-12-09 12:29:00+05:30,143.9,145.0,143.9,144.95,225
2025-12-09 12:30:00+05:30,144.95,145.4,144.95,145.4,75
2025-12-09 12:31:00+05:30,145.4,145.4,145.4,145.4,0
2025-12-09 12:32:00+05:30,145.4,145.4,144.0,144.35,225
2025-12-09 12:33:00+05:30,144.35,144.35,140.7,141.8,750
2025-12-09 12:34:00+05:30,141.8,141.8,140.0,141.05,375
2025-12-09 12:35:00+05:30,141.05,141.05,140.8,140.8,150
2025-12-09 12:36:00+05:30,140.0,142.95,140.0,142.95,450
2025-12-09 12:37:00+05:30,141.7,142.15,141.7,142.15,225
2025-12-09 12:38:00+05:30,142.15,142.15,136.2,136.2,600
2025-12-09 12:39:00+05:30,136.2,136.5,131.15,132.9,450
2025-12-09 12:40:00+05:30,132.9,138.35,132.9,138.35,825
2025-12-09 12:41:00+05:30,137.85,138.0,137.0,138.0,1125
2025-12-09 12:42:00+05:30,138.0,138.0,138.0,138.0,75
2025-12-09 12:43:00+05:30,138.0,138.0,138.0,138.0,0
2025-12-09 12:44:00+05:30,138.0,138.0,138.0,138.0,0
2025-12-09 12:45:00+05:30,138.45,138.45,138.4,138.4,225
2025-12-09 12:46:00+05:30,138.4,138.4,137.65,137.65,300
2025-12-09 12:47:00+05:30,137.65,137.65,137.65,137.65,0
2025-12-09 12:48:00+05:30,137.65,137.65,137.65,137.65,75
2025-12-09 12:49:00+05:30,137.65,137.65,137.65,137.65,0
2025-12-09 12:50:00+05:30,137.65,137.65,136.45,136.45,150
2025-12-09 12:51:00+05:30,136.45,136.45,135.0,135.0,300
2025-12-09 12:52:00+05:30,135.0,136.55,135.0,136.55,300
2025-12-09 12:53:00+05:30,136.55,136.55,136.55,136.55,0
2025-12-09 12:54:00+05:30,136.55,136.55,135.7,135.7,225
2025-12-09 12:55:00+05:30,135.7,135.7,131.85,131.85,75
2025-12-09 12:56:00+05:30,129.5,130.1,128.25,128.25,5025
2025-12-09 12:57:00+05:30,128.35,131.95,128.25,131.95,2850
2025-12-09 12:58:00+05:30,131.95,132.9,131.95,132.15,300
2025-12-09 12:59:00+05:30,132.15,132.15,130.2,130.2,75
2025-12-09 13:00:00+05:30,130.7,131.15,129.1,129.1,825
2025-12-09 13:01:00+05:30,129.1,129.15,128.6,128.6,300
2025-12-09 13:02:00+05:30,128.6,128.6,128.6,128.6,0
2025-12-09 13:03:00+05:30,129.6,132.45,129.6,132.45,600
2025-12-09 13:04:00+05:30,132.45,134.8,132.4,134.5,525
2025-12-09 13:05:00+05:30,134.5,135.5,134.5,135.45,300
2025-12-09 13:06:00+05:30,135.45,137.6,133.65,133.65,375
2025-12-09 13:07:00+05:30,133.65,136.85,133.65,136.8,525
2025-12-09 13:08:00+05:30,136.8,136.8,132.6,132.6,300
2025-12-09 13:09:00+05:30,132.6,136.05,132.6,135.75,525
2025-12-09 13:10:00+05:30,135.75,135.75,132.65,132.65,450
2025-12-09 13:11:00+05:30,131.75,135.05,131.75,134.75,300
2025-12-09 13:12:00+05:30,134.75,134.75,134.75,134.75,0
2025-12-09 13:13:00+05:30,134.75,135.0,134.5,134.5,3750
2025-12-09 13:14:00+05:30,134.5,134.5,134.5,134.5,0
2025-12-09 13:15:00+05:30,134.45,134.5,132.2,132.2,2025
2025-12-09 13:16:00+05:30,132.2,133.25,132.2,133.25,75
2025-12-09 13:17:00+05:30,133.25,135.65,133.25,135.65,75
2025-12-09 13:18:00+05:30,135.65,135.65,135.15,135.15,75
2025-12-09 13:19:00+05:30,135.15,135.15,133.0,133.0,150
2025-12-09 13:20:00+05:30,133.0,133.0,133.0,133.0,0
2025-12-09 13:21:00+05:30,133.0,134.45,133.0,134.45,75
2025-12-09 13:22:00+05:30,134.45,134.45,134.1,134.1,150
2025-12-09 13:23:00+05:30,134.1,135.8,129.7,131.1,600
2025-12-09 13:24:00+05:30,131.1,134.7,131.1,134.7,1125
2025-12-09 13:25:00+05:30,134.7,135.85,134.7,134.85,150
2025-12-09 13:26:00+05:30,134.85,134.85,134.3,134.3,75
2025-12-09 13:27:00+05:30,134.3,134.3,134.0,134.0,75
2025-12-09 13:28:00+05:30,134.0,134.0,134.0,134.0,0
2025-12-09 13:29:00+05:30,134.0,137.55,134.0,137.15,450
2025-12-09 13:30:00+05:30,138.5,138.75,136.15,136.15,2850
2025-12-09 13:31:00+05:30,136.15,136.15,136.15,136.15,0
2025-12-09 13:32:00+05:30,136.15,140.4,135.5,140.4,1200
2025-12-09 13:33:00+05:30,140.4,140.55,140.4,140.55,225
2025-12-09 13:34:00+05:30,140.55,141.25,140.4,141.25,1500
2025-12-09 13:35:00+05:30,141.25,141.25,139.95,139.95,150
2025-12-09 13:36:00+05:30,139.95,139.95,139.95,139.95,0
2025-12-09 13:37:00+05:30,139.95,139.95,134.95,134.95,975
2025-12-09 13:38:00+05:30,136.45,138.2,136.45,137.7,3375
2025-12-09 13:39:00+05:30,137.7,142.45,137.7,141.95,750
2025-12-09 13:40:00+05:30,141.95,142.0,140.5,142.0,150
2025-12-09 13:41:00+05:30,142.0,142.0,142.0,142.0,0
2025-12-09 13:42:00+05:30,142.0,142.2,141.35,141.35,1125
2025-12-09 13:43:00+05:30,141.35,141.35,139.3,139.3,150
2025-12-09 13:44:00+05:30,139.3,139.55,138.55,138.8,975
2025-12-09 13:45:00+05:30,138.8,141.0,138.8,141.0,75
2025-12-09 13:46:00+05:30,141.0,141.0,137.85,138.75,375
2025-12-09 13:47:00+05:30,138.75,139.55,138.75,139.55,75
2025-12-09 13:48:00+05:30,139.55,139.55,137.95,138.3,150
2025-12-09 13:49:00+05:30,138.3,140.0,138.3,140.0,75
2025-12-09 13:50:00+05:30,140.0,140.0,138.0,138.0,75
2025-12-09 13:51:00+05:30,138.0,138.0,138.0,138.0,0
2025-12-09 13:52:00+05:30,137.7,140.0,137.7,140.0,225
2025-12-09 13:53:00+05:30,140.0,141.45,139.15,140.85,300
2025-12-09 13:54:00+05:30,140.85,140.9,140.55,140.55,150
2025-12-09 13:55:00+05:30,140.55,143.8,140.55,143.75,375
2025-12-09 13:56:00+05:30,143.75,143.75,140.8,140.8,300
2025-12-09 13:57:00+05:30,140.8,140.8,140.8,140.8,0
2025-12-09 13:58:00+05:30,140.8,141.55,140.4,140.4,2250
2025-12-09 13:59:00+05:30,140.4,141.5,140.4,141.5,750
2025-12-09 14:00:00+05:30,141.5,141.5,141.5,141.5,525
2025-12-09 14:01:00+05:30,141.5,141.5,139.55,139.55,375
2025-12-09 14:02:00+05:30,139.05,140.35,139.05,140.35,300
2025-12-09 14:03:00+05:30,140.35,140.35,140.35,140.35,0
2025-12-09 14:04:00+05:30,140.35,140.35,135.55,135.55,450
2025-12-09 14:05:00+05:30,135.55,136.5,132.5,132.95,225
2025-12-09 14:06:00+05:30,132.5,134.0,132.15,134.0,3825
2025-12-09 14:07:00+05:30,134.0,135.55,134.0,135.55,150
2025-12-09 14:08:00+05:30,134.95,134.95,134.95,134.95,150
2025-12-09 14:09:00+05:30,134.95,134.95,134.95,134.95,0
2025-12-09 14:10:00+05:30,134.95,136.15,134.95,135.55,150
2025-12-09 14:11:00+05:30,135.55,136.05,134.6,134.6,600
2025-12-09 14:12:00+05:30,134.6,134.6,134.6,134.6,0
2025-12-09 14:13:00+05:30,134.6,134.6,134.6,134.6,0
2025-12-09 14:14:00+05:30,134.6,137.3,134.6,137.3,825
2025-12-09 14:15:00+05:30,136.65,136.65,135.1,135.1,300
2025-12-09 14:16:00+05:30,135.1,135.1,133.3,133.95,825
2025-12-09 14:17:00+05:30,133.95,134.0,133.85,134.0,525
2025-12-09 14:18:00+05:30,132.9,132.9,131.5,131.8,600
2025-12-09 14:19:00+05:30,131.8,131.8,131.8,131.8,75
2025-12-09 14:20:00+05:30,131.8,131.8,126.9,126.9,600
2025-12-09 14:21:00+05:30,126.9,127.45,124.8,125.35,1800
