date,open,high,low,close,volume
2025-12-12 09:15:00+05:30,966.0,967.0,964.2,965.2,132584
2025-12-12 09:20:00+05:30,965.2,965.6,963.2,964.1,90043
2025-12-12 09:25:00+05:30,964.1,964.1,962.1,963.4,75913
2025-12-12 09:30:00+05:30,963.6,964.9,963.25,963.6,69178
2025-12-12 09:35:00+05:30,963.8,964.0,962.5,963.05,68379
2025-12-12 09:40:00+05:30,963.1,963.2,962.1,962.85,82247
2025-12-12 09:45:00+05:30,962.9,963.35,962.4,962.7,87046
2025-12-12 09:50:00+05:30,962.65,963.0,962.25,962.35,75147
2025-12-12 09:55:00+05:30,962.35,962.8,961.2,961.3,72883
2025-12-12 10:00:00+05:30,961.25,962.3,961.2,962.2,51497
2025-12-12 10:05:00+05:30,962.4,962.6,961.25,961.6,38403
2025-12-12 10:10:00+05:30,961.55,962.0,960.4,960.65,91882
2025-12-12 10:15:00+05:30,960.75,961.7,960.65,961.35,65836
2025-12-12 10:20:00+05:30,961.4,961.5,959.25,959.55,111420
2025-12-12 10:25:00+05:30,959.4,960.0,958.15,959.4,84818
2025-12-12 10:30:00+05:30,959.4,960.25,959.4,960.0,30058
2025-12-12 10:35:00+05:30,959.85,960.2,958.3,958.8,39587
2025-12-12 10:40:00+05:30,958.3,959.05,958.0,958.6,45591
2025-12-12 10:45:00+05:30,958.75,959.45,958.25,958.3,30781
2025-12-12 10:50:00+05:30,958.25,959.45,958.1,959.15,22393
2025-12-12 10:55:00+05:30,959.1,959.8,958.6,958.7,31609
2025-12-12 11:00:00+05:30,958.9,960.0,958.5,959.85,22195
2025-12-12 11:05:00+05:30,959.65,960.15,959.4,960.0,36687
2025-12-12 11:10:00+05:30,959.95,960.0,959.55,959.7,31671
2025-12-12 11:15:00+05:30,959.6,960.0,959.5,959.75,31515
2025-12-12 11:20:00+05:30,959.75,962.0,959.65,961.55,66289
2025-12-12 11:25:00+05:30,961.55,961.6,960.75,961.35,48841
2025-12-12 11:30:00+05:30,961.4,962.0,961.15,961.85,36136
2025-12-12 11:35:00+05:30,961.95,962.0,961.15,961.2,46004
2025-12-12 11:40:00+05:30,961.35,961.6,960.95,961.35,45679
2025-12-12 11:45:00+05:30,961.3,961.4,960.95,961.0,33002
2025-12-12 11:50:00+05:30,961.3,962.0,960.75,961.8,33452
2025-12-12 11:55:00+05:30,961.9,962.0,961.3,961.6,26944
2025-12-12 12:00:00+05:30,961.35,962.0,961.35,961.85,27203
2025-12-12 12:05:00+05:30,961.65,961.8,960.25,960.65,45350
2025-12-12 12:10:00+05:30,960.8,961.2,960.45,961.0,104357
2025-12-12 12:15:00+05:30,960.9,961.0,960.65,960.85,26312
2025-12-12 12:20:00+05:30,960.85,961.5,960.65,961.5,39315
2025-12-12 12:25:00+05:30,961.45,961.9,960.9,961.4,71916
2025-12-12 12:30:00+05:30,961.4,961.9,961.2,961.9,42088
2025-12-12 12:35:00+05:30,961.9,962.0,961.7,961.7,36390
2025-12-12 12:40:00+05:30,961.65,962.0,961.0,961.05,66649
2025-12-12 12:45:00+05:30,961.2,961.2,960.0,960.75,59235
2025-12-12 12:50:00+05:30,960.75,961.15,960.55,961.0,32604
2025-12-12 12:55:00+05:30,961.0,961.05,960.75,961.0,30969
2025-12-12 13:00:00+05:30,960.9,961.05,960.5,961.0,31093
2025-12-12 13:05:00+05:30,961.0,961.05,960.5,960.75,33009
2025-12-12 13:10:00+05:30,960.8,961.1,960.6,961.1,42444
2025-12-12 13:15:00+05:30,960.85,961.0,960.75,960.85,29902
2025-12-12 13:20:00+05:30,960.9,961.0,960.75,960.8,29300
2025-12-12 13:25:00+05:30,960.8,961.2,960.75,960.9,29828
2025-12-12 13:30:00+05:30,961.0,961.1,960.75,960.9,52448
2025-12-12 13:35:00+05:30,961.0,961.05,960.45,960.8,49688
2025-12-12 13:40:00+05:30,960.9,961.05,960.65,960.8,32887
2025-12-12 13:45:00+05:30,960.8,961.25,960.7,961.15,48519
2025-12-12 13:50:00+05:30,961.0,961.2,960.65,960.95,38715
2025-12-12 13:55:00+05:30,960.95,961.05,960.7,961.05,27328
2025-12-12 14:00:00+05:30,961.0,961.3,960.65,961.0,936550
2025-12-12 14:05:00+05:30,961.0,961.35,960.6,960.95,112210
2025-12-12 14:10:00+05:30,960.9,961.8,960.75,961.2,151422
2025-12-12 14:15:00+05:30,961.0,961.35,960.8,961.0,59087
2025-12-12 14:20:00+05:30,961.0,961.15,960.8,960.8,70243
2025-12-12 14:25:00+05:30,960.95,961.45,960.8,961.0,344041
